Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,KO,PEP,KO,PEP,KO,PEP,KO,PEP,KO,PEP
Date,,,,,,,,,,
2012-01-03,23.25337028503418,45.08836364746094,23.442341115964357,45.624807137559976,23.240108863468855,45.06120136155609,23.256686272764895,45.40072216435222,15639600,5348800
2012-01-04,23.10750389099121,45.31925582885742,23.23017017909264,45.38715898403042,23.04119929325752,44.89825315837763,23.17712700677734,45.09517593485439,14239200,6042400
2012-01-05,22.99809455871582,44.96613693237305,23.163858531961797,45.271703589286396,22.99146258334578,44.89823380646746,23.127390255499083,45.21059233017429,14287600,4909100
2012-01-06,22.85222816467285,44.40254211425781,23.084296783633878,45.00009702280715,22.749455280469864,44.334638971575934,23.031253611882033,45.00009702280715,13646600,6533000
2012-01-09,22.85222816467285,44.6334228515625,22.93179418697974,44.701326000079334,22.80913042953959,44.14451189315626,22.875435026568955,44.31427235478742,10522600,5859600
2012-01-10,22.988147735595703,44.58587646484375,23.047822870097725,44.850702289370226,22.911897720561672,44.456856895729004,23.031247989565713,44.80316958190846,12964400,4996000
2012-01-11,22.563798904418945,44.14451217651367,22.799183522976573,44.25315617870235,22.394721415330036,43.546952032102325,22.666574322755864,44.13772030741495,23428800,10470200
2012-01-12,22.401344299316406,43.87967300415039,22.709665405262893,44.259934667873644,22.32840774295265,43.777815721174065,22.683142561247415,44.20561009286272,15237000,5745700
2012-01-13,22.209064483642578,43.73028564453125,22.354937642409112,43.947578776973224,22.06982330265184,43.66238251202006,22.32509880113486,43.757447933671116,19991800,6677900
2012-01-17,22.328411102294922,43.90005874633789,22.504120543957377,44.198833651821325,22.318465666632218,43.86610457993643,22.45770682462609,43.974753767878354,15577000,7457600
2012-01-18,22.407978057861328,44.03586196899414,22.484230616740565,44.19204387056157,22.27205288250022,43.80499023179141,22.364880325060607,43.913634231452086,13282200,5373300
2012-01-19,22.36156463623047,44.75563049316406,22.45770806855867,44.85069589453312,22.298576030425068,44.1037460542394,22.427871759917924,44.232765604958466,13544800,8195800
2012-01-20,22.57374382019043,45.00688171386719,22.583691786399775,45.09516044788543,22.34499118454158,44.524762742830085,22.39140490941864,44.85749171538419,19158600,5538800
2012-01-23,22.71961212158203,44.88466262817383,22.749450955122768,44.91861679096261,22.514066392256407,44.402543564504796,22.54390269643938,44.76243489508324,13803200,5551000
2012-01-24,22.510753631591797,44.952552795410156,22.709669942736845,45.0340396541715,22.447762496808583,44.77600570577514,22.596951627185966,44.78958425856384,14751200,4148700
2012-01-25,22.68645668029785,45.29207992553711,22.70966353456033,45.35998824099005,22.391397020664563,44.59266779405951,22.51406326711334,44.73526593129189,14476000,5131300
2012-01-26,22.547216415405273,45.16984939575195,22.74944866570834,45.468629386958625,22.46433442853869,45.05441355575911,22.74944866570834,45.23775770697294,14721000,5345900
2012-01-27,22.358247756958008,44.6877326965332,22.590316330969568,45.10194854870433,22.28862718475454,44.592667272822816,22.51406631209052,44.98651270286701,16825000,5832500
2012-01-30,22.364879608154297,44.41611862182617,22.401347892185186,44.54513301771945,22.222322460403912,44.24635820241362,22.308520452600384,44.54513301771945,10591600,5712300
2012-01-31,22.38808822631836,44.592674255371094,22.5372773625318,44.606257992700755,22.2720539177245,44.32784836489908,22.5372773625318,44.477238391458236,13543400,5834300
2012-02-01,22.494178771972656,45.074790954589844,22.656626816090455,45.15627783226342,22.47760388628789,44.721691512692836,22.504124209255195,44.80996507799769,14915000,6351200
2012-02-02,22.487552642822266,45.08836364746094,22.623477854677446,45.29207302073282,22.46102978658167,44.9525522179367,22.567118682185267,45.224169896308865,13150000,5124100
2012-02-03,22.570430755615234,45.264930725097656,22.706355943887576,45.42789931316982,22.490862200698484,45.0204752526504,22.630105907123625,45.41431557543496,16555800,6295300
